instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
128,sp_sp5,sp,1.42,6,7,9,0.5450144959000665,0.36273812505500586,0.2777777777771948,0.39999999999916064,True
129,er_n8_p0.41,er,14.84,12,8,23,0.5535844330491804,-0.09258200997725516,0.1572902416780059,0.17477710101007077,True
130,er_n5_p0.38,er,2.86,5,5,8,0.5410081480240921,-0.5,0.22397852064569024,0.23605533906199577,True
131,mesh_2x2,mesh,13.0,20,4,8,0.6698628309085801,0.0,0.0,0.0,True
132,mesh_3x3,mesh,21.6,23,9,24,0.8439482610148052,0.4865618401009518,0.10054887251385254,0.04659108359760879,True
133,er_n11_p0.45,er,40.57,15,11,50,0.08961530363365343,0.5842373946721772,0.10269880968390187,0.04107669405243996,True
134,sp_sp5,sp,1.17,12,7,9,0.0,0.0,0.1904761904749548,0.3999999999974051,True
135,sp_sp3,sp,7.49,10,5,5,0.6465004658759892,0.0,0.0,0.0,True
136,er_n4_p0.44,er,11.19,5,3,4,0.744774958060199,0.0,0.0,0.0,False
137,sp_sp4,sp,12.67,14,6,6,0.9759802754091031,-0.316227766016838,0.19320247980101932,0.09103129910218687,True
138,sp_sp4,sp,28.12,6,6,7,0.04758154462324064,0.0,0.0,0.0,True
139,mesh_2x5,mesh,7.53,16,10,26,0.0,-0.191662969499982,0.13608934915318138,0.21889152778671966,True
140,sp_sp5,sp,5.75,17,7,9,0.0,0.2867696673382022,0.16532214692899191,0.29364044408697204,True
141,er_n8_p0.36,er,2.44,11,6,14,0.9355517479394726,0.7999999999999999,0.21024545819914123,0.1488689843368084,True
142,sp_sp2,sp,13.53,7,4,4,0.1296151245973583,0.0,0.0,0.0,True
143,sp_sp8,sp,11.17,5,10,14,0.2582551938767682,0.7349684152591671,0.26749408983443224,0.1453977467269314,True
144,er_n5_p0.33,er,11.55,20,5,9,0.9981530412227863,-0.8660254037844387,0.08717111232077125,0.20436938506140345,True
145,sp_sp6,sp,4.9,13,8,9,0.0,0.5477225575051663,0.3333333333326728,0.3726779962492264,True
146,er_n5_p0.43,er,14.41,13,5,10,0.9798552780016727,0.8660254037844387,0.3333333333331285,0.2535735803121161,True
147,er_n10_p0.31,er,11.04,13,8,18,0.164415184740362,0.3142857142857143,0.11481331654564042,0.13660749814799622,True
